"Rank","CryptoCurrency","Market Cap.","Price","Circulating Supply","Volume (24h)","Change (24h)","DateTime"
1,"Bitcoin","$897,090,115,376","$47,419.00","18,918,762","$34,756,931,803","0.72 %",2022-01-03 12:11:37
2,"Ethereum","$457,067,851,167","$3,839.75","119,006,532","$10,618,152,500","2.84 %",2022-01-03 12:11:37
3,"Binance Coin","$89,317,374,457","$531.22","168,137,036","$590,950,711","1.77 %",2022-01-03 12:11:37
4,"Tether","$78,521,191,172","$1.00","78,337,861,182","$40,781,795,825","0.58 %",2022-01-03 12:11:37
5,"Solana","$54,064,513,902","$174.81","309,284,206","$871,014,706","-0.19 %",2022-01-03 12:11:37
6,"Cardano","$44,019,024,297","$1.37","32,066,390,668","$751,752,149","1.04 %",2022-01-03 12:11:37
7,"USD Coin","$42,685,801,028","$1.00","42,597,930,756","$1,951,799,639","0.42 %",2022-01-03 12:11:37
8,"XRP","$40,248,467,074","$0.85","47,535,964,473","$1,922,205,001","0.21 %",2022-01-03 12:11:37
9,"Terra","$33,825,545,448","$93.62","361,248,781","$1,405,714,960","4.91 %",2022-01-03 12:11:37
10,"Polkadot","$32,217,909,362","$30.10","1,070,327,000","$1,305,775,760","4.73 %",2022-01-03 12:11:37
11,"Avalanche","$27,260,449,214","$111.94","243,747,643","$658,030,678","-3.18 %",2022-01-03 12:11:37
12,"Dogecoin","$22,990,036,389","$0.17","132,670,764,300","$768,337,790","0.33 %",2022-01-03 12:11:37
13,"Shiba Inu","$18,669,225,761","$0.00","549,149,546,975,890","$489,219,493","0.54 %",2022-01-03 12:11:37
14,"Polygon","$17,252,236,554","$2.51","6,872,890,164","$916,807,307","-0.36 %",2022-01-03 12:11:37
15,"Crypto.com Coin","$14,743,690,209","$0.58","25,263,013,692","$171,781,822","0.35 %",2022-01-03 12:11:37
16,"Binance USD","$14,481,450,385","$1.00","14,434,991,724","$2,499,615,632","0.67 %",2022-01-03 12:11:37
17,"Wrapped Bitcoin","$12,247,995,356","$47,410.00","258,341","$332,297,337","0.55 %",2022-01-03 12:11:37
18,"Algorand","$10,770,544,460","$1.69","6,374,056,860","$238,269,036","1.22 %",2022-01-03 12:11:37
19,"Cosmos","$10,709,776,558","$37.54","285,286,118","$1,036,396,667","7.59 %",2022-01-03 12:11:37
20,"Chainlink","$10,497,415,978","$22.48","467,009,550","$998,249,731","7.12 %",2022-01-03 12:11:37
21,"Litecoin","$10,464,783,350","$150.93","69,333,371","$607,524,580","1.34 %",2022-01-03 12:11:37
22,"TerraUSD","$10,213,749,633","$1.00","10,182,338,102","$115,798,930","0.35 %",2022-01-03 12:11:37
23,"Dai","$9,026,944,859","$1.00","9,011,520,752","$268,019,575","0.28 %",2022-01-03 12:11:37
24,"Near","$8,830,114,582","$14.66","602,419,253","$281,279,065","1.12 %",2022-01-03 12:11:37
25,"Uniswap","$8,563,511,350","$18.96","452,308,285","$317,590,475","9.71 %",2022-01-03 12:11:37
26,"Bitcoin Cash","$8,456,166,450","$446.20","18,945,244","$1,757,866,508","0.51 %",2022-01-03 12:11:37
27,"TRON","$7,928,118,327","$0.08","101,853,593,378","$1,256,373,226","1.77 %",2022-01-03 12:11:37
28,"OKB","$7,633,872,152","$29.06","262,680,011","$162,288,233","-0.84 %",2022-01-03 12:11:37
29,"Stellar","$7,215,352,942","$0.29","24,739,003,368","$340,145,968","2.44 %",2022-01-03 12:11:37
30,"Axie Infinity","$6,636,029,748","$97.75","67,887,007","$182,771,441","4.39 %",2022-01-03 12:11:37
31,"Fantom","$6,413,499,329","$2.52","2,541,152,731","$669,642,821","2.16 %",2022-01-03 12:11:37
33,"VeChain","$5,826,403,386","$0.09","66,760,741,299","$208,835,783","1.32 %",2022-01-03 12:11:37
34,"Hedera","$5,800,802,776","$0.31","18,631,599,779","$93,782,133","1.14 %",2022-01-03 12:11:37
35,"FTX Token","$5,570,900,677","$40.03","138,920,527","$90,920,439","0.93 %",2022-01-03 12:11:37
37,"cETH","$5,382,564,915","$76.93","69,872,290","$3,306,898","2.60 %",2022-01-03 12:11:37
38,"Internet Computer","$5,243,819,347","$27.40","190,940,097","$299,643,750","0.66 %",2022-01-03 12:11:37
39,"Filecoin","$5,122,391,438","$35.43","144,618,289","$297,358,265","0.26 %",2022-01-03 12:11:37
40,"Elrond","$4,947,651,915","$243.49","20,319,672","$89,140,428","0.97 %",2022-01-03 12:11:37
41,"Theta Network","$4,855,661,578","$4.85","1,000,000,000","$123,883,448","-0.31 %",2022-01-03 12:11:37
42,"Ethereum Classic","$4,673,531,159","$35.39","132,045,972","$242,756,741","1.50 %",2022-01-03 12:11:37
44,"Decentraland","$4,421,836,894","$3.33","1,327,372,146","$267,529,730","0.64 %",2022-01-03 12:11:37
45,"Monero","$4,277,090,066","$236.85","18,056,861","$161,504,548","-4.32 %",2022-01-03 12:11:37
46,"Tezos","$4,088,485,310","$4.69","871,987,431","$130,770,032","0.17 %",2022-01-03 12:11:37
47,"Helium","$4,053,537,802","$40.32","100,539,362","$40,506,901","3.89 %",2022-01-03 12:11:37
48,"Aave","$3,810,250,674","$282.96","13,465,700","$426,117,736","10.76 %",2022-01-03 12:11:37
49,"IOTA","$3,830,969,496","$1.38","2,779,530,283","$52,489,459","-0.04 %",2022-01-03 12:11:37
50,"Klaytn","$3,730,427,536","$1.45","2,558,746,173","$79,051,134","7.90 %",2022-01-03 12:11:37
51,"The Graph","$3,602,636,802","$0.69","5,253,842,029","$131,443,909","3.98 %",2022-01-03 12:11:37
52,"LEO Token","$3,535,880,317","$3.77","938,683,172","$386,417","-1.07 %",2022-01-03 12:11:37
53,"cDAI","$3,515,938,088","$0.02","160,999,998,314","$180,178","0.64 %",2022-01-03 12:11:37
55,"Harmony","$3,422,201,906","$0.30","11,574,122,395","$296,169,451","9.07 %",2022-01-03 12:11:37
56,"EOS","$3,160,761,748","$3.23","979,552,302","$407,593,351","1.08 %",2022-01-03 12:11:37
57,"PancakeSwap","$3,158,070,855","$12.40","254,782,899","$103,003,155","3.88 %",2022-01-03 12:11:37
58,"Arweave","$3,047,584,303","$60.82","50,108,502","$54,800,086","-1.95 %",2022-01-03 12:11:37
59,"cUSDC","$2,969,035,347","$0.02","132,068,747,144","$129,178,514","0.29 %",2022-01-03 12:11:37
60,"Flow","$2,931,070,757","$9.24","316,835,587","$51,830,447","-0.54 %",2022-01-03 12:11:37
61,"Enjin Coin","$2,684,621,303","$2.87","934,340,660","$280,392,346","5.17 %",2022-01-03 12:11:37
62,"BitTorrent","$2,626,854,271","$0.00","932,497,500,000","$343,862,541","2.49 %",2022-01-03 12:11:37
63,"Kusama","$2,624,809,735","$291.76","8,980,098","$61,525,434","1.37 %",2022-01-03 12:11:37
64,"Loopring","$2,596,421,976","$2.08","1,245,991,469","$119,024,100","0.89 %",2022-01-03 12:11:37
65,"Quant","$2,534,764,245","$188.96","13,413,953","$36,968,766","6.17 %",2022-01-03 12:11:37
67,"Curve DAO Token","$2,505,928,358","$6.39","391,958,099","$822,495,701","4.89 %",2022-01-03 12:11:37
68,"Stacks","$2,473,337,446","$2.35","1,052,561,462","$88,302,798","-2.56 %",2022-01-03 12:11:37
70,"Bitcoin SV","$2,345,335,773","$123.85","18,941,620","$72,576,741","0.67 %",2022-01-03 12:11:37
71,"Amp","$2,342,547,292","$0.05","48,013,928,909","$11,956,079","-1.15 %",2022-01-03 12:11:37
72,"Maker","$2,280,671,811","$2,530.39","901,311","$73,857,005","6.98 %",2022-01-03 12:11:37
73,"eCash","$2,253,822,297","$0.00","18,941,583,396,789","$81,868,040","1.13 %",2022-01-03 12:11:37
74,"THORChain","$2,219,190,650","$7.38","299,750,085","$45,260,586","-2.19 %",2022-01-03 12:11:37
77,"Basic Attention Token","$1,991,544,540","$1.33","1,493,865,018","$269,663,174","3.05 %",2022-01-03 12:11:37
78,"NEO","$1,917,154,272","$27.18","70,530,000","$107,438,956","2.40 %",2022-01-03 12:11:37
79,"Celo","$1,919,144,279","$4.96","387,111,233","$39,003,625","-3.84 %",2022-01-03 12:11:37
84,"Theta Fuel","$1,886,178,774","$0.20","0","$17,481,439","0.19 %",2022-01-03 12:11:37
85,"Zcash","$1,811,872,669","$151.36","11,970,932","$189,347,204","0.81 %",2022-01-03 12:11:37
86,"Sushi","$1,802,499,552","$9.35","192,789,256","$360,081,234","3.48 %",2022-01-03 12:11:37
87,"Celsius Network","$1,773,619,623","$4.19","423,415,980","$1,405,280","-0.21 %",2022-01-03 12:11:37
88,"KuCoin Token","$1,736,218,802","$22.63","76,729,977","$10,281,474","1.09 %",2022-01-03 12:11:37
89,"Chiliz","$1,658,268,620","$0.31","5,344,064,580","$157,712,096","-0.46 %",2022-01-03 12:11:37
90,"Waves","$1,559,000,725","$15.59","100,000,000","$76,275,438","2.13 %",2022-01-03 12:11:37
91,"NEXO","$1,504,910,313","$2.69","560,000,010","$9,813,730","6.82 %",2022-01-03 12:11:37
93,"Dash","$1,484,662,484","$141.24","10,511,912","$132,980,227","2.20 %",2022-01-03 12:11:37
94,"Huobi Token","$1,485,143,791","$9.41","157,723,680","$65,993,549","0.37 %",2022-01-03 12:11:37
94,"Aave [OLD]","$1,253,885,331","$6.02","53,688,345","$13,140","51.13 %",2022-01-03 12:11:37
96,"yearn.finance","$1,444,682,904","$40,476.00","35,693","$710,046,875","11.17 %",2022-01-03 12:11:37
97,"Compound","$1,403,696,545","$222.44","6,310,351","$105,677,955","8.20 %",2022-01-03 12:11:37
98,"Holo","$1,329,599,371","$0.01","177,619,433,541","$85,041,659","0.89 %",2022-01-03 12:11:37
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2022-01-03 12:11:37
100,"TrueUSD","$1,294,988,973","$1.00","1,293,337,222","$90,726,142","0.38 %",2022-01-03 12:11:37
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2022-01-03 12:11:37
